Altium Designer Pick and Place Locations
C:\Applications\hardware\pca20053\tags\1.1.0\production_files\400501_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       07-07-23
Time:       13:13
Revision:   29688
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D4","BAS716","TopLayer","SOD-523","2.2043","37.3000","180","Low-leakage diode, Diode gen. purpose, Vf=1.25 V @ 150 mA, Ir=5.0 nA @ 75 V, If=200 mA"
"D3","BAS716","TopLayer","SOD-523","2.2043","38.1500","180","Low-leakage diode, Diode gen. purpose, Vf=1.25 V @ 150 mA, Ir=5.0 nA @ 75 V, If=200 mA"
"TP26","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","2.6750","19.9500","0","1.5mm circular SMD testpad"
"TP25","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","40.0000","21.0000","0","1.5mm circular SMD testpad"
"TP24","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","14.7492","8.4156","0","1.5mm circular SMD testpad"
"TP23","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","32.0000","5.5000","0","1.5mm circular SMD testpad"
"TP22","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","11.0250","37.3250","0","1.5mm circular SMD testpad"
"TP13","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","23.0000","50.0000","180","1.5mm circular SMD testpad"
"H2","3mm,N.P","TopLayer","HOLE_NP_3MM","4.5000","4.5000","0","Regular Non-Plated, 3mm hole"
"H1","3mm,N.P","TopLayer","HOLE_NP_3MM","32.5000","48.5000","180","Regular Non-Plated, 3mm hole"
"H3","3mm,N.P","TopLayer","HOLE_NP_3MM","48.5000","4.5000","270","Regular Non-Plated, 3mm hole"
"C40","100nF","BottomLayer","CAPC0603X03L_C","38.5750","49.0114","0","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C41","100nF","BottomLayer","CAPC0603X03L_C","40.2500","49.0114","0","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"U9","BME688","BottomLayer","BME680","39.2500","51.0114","90","Low power gas, pressure, temperature & humidity sensor"
"R44","1M0","BottomLayer","RESC0603X03L_C","33.4250","32.7750","0","Resistor, ±1%, 0.05W"
"Q3","DMN1029UFDB","BottomLayer","DFN65P200X60_HS-6N","32.4500","44.9500","0","Dual N Ch MOFET, 5.6A, 29mOhm @ 5A, 4.5V, 1.4W"
"P8","Pin Header 2x5","BottomLayer","HDR_2x5-SMD-1.27mm-ANG","5.3025","9.6500","90","Pin Header 2x5, 1.27mm (50mil)"
"J6","USB-C 2.0","BottomLayer","DX07S016JA1R1500","4.0500","30.4500","90","USB-C Receptacle, 16 Pin, USB 2.0"
"P1","SM04B-SRSS-TB","BottomLayer","SM04B-SRSS-TB","3.3875","20.4500","90","JST SR/SH 1.0mm 4-pin"
"P9","Card Edge, 0.8mm","BottomLayer","10056847-101LF","8.1500","43.0500","90","0.8mm pitch, dual edge, right angle, SMD, card edge connector"
"SW1","Switch","TopLayer","Switch-Slide-RA-J-Lead-DPDT-8.5x3.5mm","2.3500","43.0500","270","SMD slide Switch (ON-ON)"
"SW2","PB SW","TopLayer","SW_TACTILE_2.6x3.0MM_4-LEAD","27.8000","21.0000","0","Nano-Miniature Top Actuated Tact Switch with extended life 3.0x2.6mm"
"U15","MX25R6435F","TopLayer","SON127P600X80_HS-9N","20.0250","3.1750","180","Ultra low power, 64M-bit, serial multi I/O flash memory"
"C19","100nF","TopLayer","CAPC0603X03L_C","16.0750","1.8000","270","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"TP11","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","8.7000","10.4500","0","1.5mm circular SMD testpad"
"R10","1k","BottomLayer","RESC0603X03L_C","23.7000","28.4500","90","Resistor, ±1%, 0.05W"
"R9","1M0","BottomLayer","RESC0603X03L_C","2.1250","24.3250","0","Resistor, ±1%, 0.05W"
"C59","4.7nF","BottomLayer","CAPC0603X03L_C","2.1250","25.0500","0","Capacitor, Ceramic, X5R, ±10%, 25V"
"TP21","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","21.0352","20.5250","0","1.5mm circular SMD testpad"
"TP20","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","10.8500","30.5000","0","1.5mm circular SMD testpad"
"TP19","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","7.8500","30.5000","0","1.5mm circular SMD testpad"
"TP18","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","8.1750","33.8000","0","1.5mm circular SMD testpad"
"R7","1M0","BottomLayer","RESC0603X03L_C","22.3750","45.1750","270","Resistor, ±1%, 0.05W"
"FB1","120R/0.55A","BottomLayer","INDC1005X04L","9.4000","28.1000","0","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"D1","PRTR5V0U2X","BottomLayer","SOT190P230X110-4L","9.3500","30.8000","90","Ultra low capacitance double rail-to-rail ESD protection diode"
"C58","100nF","BottomLayer","CAPC0603X03L_C","10.5750","32.8750","180","Capacitor, Ceramic, X5R, ±10%, 25V"
"C53","10µF","BottomLayer","CAPC1608X06L","10.3000","34.4250","270","Capacitor, Ceramic, X5R, ±20%, 25V"
"C44","100nF","BottomLayer","CAPC0603X03L_C","10.6750","27.7250","90","Capacitor, Ceramic, X5R, ±10%, 25V"
"C43","10nF","BottomLayer","CAPC0603X03L_C","8.1750","27.7250","90","Capacitor, Ceramic, X5R, ±10%, 25V"
"U7","BMI270","BottomLayer","BMI270","33.0250","38.0250","90","6-axis, smart, low-power, inertial measurement unit"
"SB22","Solderbridge","TopLayer","Solderbridge","10.1500","42.5000","270","Solderbridge"
"SB21","Solderbridge","TopLayer","Solderbridge","10.1500","44.3000","270","Solderbridge"
"SB20","Solderbridge","TopLayer","Solderbridge","10.1500","46.1000","270","Solderbridge"
"SB5","Solderbridge","TopLayer","Solderbridge","10.1500","40.7000","270","Solderbridge"
"U14","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","8.8500","42.5000","270","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"L5","1.9nH","TopLayer","INDC0603X03L_C","41.1751","12.7251","0","Inductor, 600mA, ±0.1nH, 120mOhm"
"L4","1.9nH","TopLayer","INDC0603X03L_C","41.1751","10.3001","0","Inductor, 600mA, ±0.1nH, 120mOhm"
"C29","N.C.","TopLayer","CAPC0603X03L_C_NC","42.8500","13.5500","270","Not mounted"
"C27","1.2pF","TopLayer","CAPC0603X03L_C","41.4750","13.5500","270","Capacitor, NP0, ±0.05pF, 50V"
"C28","N.C.","TopLayer","CAPC0603X03L_C_NC","42.8500","9.4750","90","Not mounted"
"C26","1.2pF","TopLayer","CAPC0603X03L_C","41.4750","9.4750","90","Capacitor, NP0, ±0.05pF, 50V"
"U13","VM3011","TopLayer","VM3011","50.6000","14.5250","0","Low-Noise PDM Digital Piezoelectric MEMS Microphone with ZeroPower Listening"
"U12","BMM150","BottomLayer","BMM150","28.0650","46.1225","270","3-axis geomagnetic sensor"
"U11","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","8.8500","44.3000","270","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U5","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","8.8500","46.1000","270","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U4","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","8.8500","40.7000","270","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"L6","1.8nH","TopLayer","INDC0603X03L_C","46.7251","33.8251","0","Inductor, 800mA, ±0.1nH, 80mOhm"
"R5","0R","TopLayer","RESC0603X03L_C","44.1166","4.2250","270","Resistor, ±5%, 0.05W"
"R4","100k","TopLayer","RESC0603X03L_C","3.5043","37.2750","180","Resistor, ±1%, 0.05W"
"C30","6.8pF","TopLayer","CAPC0603X03L_C","51.5250","25.8250","270","Capacitor, NP0, ±0.1pF, 25V"
"C32","9.5pF","TopLayer","CAPC0603X03L_C","35.9250","1.4750","180","Capacitor, NP0, ±0.05pF, 50V, High Q"
"C52","100nF","TopLayer","CAPC0603X03L_C","51.2750","17.0750","0","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C51","100nF","BottomLayer","CAPC0603X03L_C","27.7750","47.4250","180","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C50","100nF","BottomLayer","CAPC0603X03L_C","28.5750","44.8750","0","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C22","N.C.","TopLayer","CAPC0603X03L_C_NC","47.5750","33.5400","90","Not mounted"
"C20","1.5pF","TopLayer","CAPC0603X03L_C","45.8500","33.5400","90","Capacitor, NP0, ±0.05pF, 25V, High Q"
"C31","1.8pF","TopLayer","CAPC0603X03L_C","43.8340","3.1586","0","Capacitor, NP0, ±0.1pF, 25V"
"L7","N.C.","TopLayer","INDC0603X03L_C_NC","43.8338","5.1251","0","Not mounted"
"A2","WLA.01","TopLayer","WLA.01","51.5251","28.8999","270","2.4GHz Ceramic SMD Loop Antenna"
"A1","WLA.01","TopLayer","WLA.01","38.9999","1.4749","180","2.4GHz Ceramic SMD Loop Antenna"
"U6","NCP114AMX330","BottomLayer","UDFN65P100X100X60_HS-5N","15.2750","38.0750","0","300 mA CMOS Low Dropout Regulator"
"C55","1.0µF","BottomLayer","CAPC1005X04L","13.5250","38.2250","180","Capacitor, Ceramic, X5R, ±10%, 25V"
"C54","1.0µF","BottomLayer","CAPC1005X04L","16.7250","38.2500","90","Capacitor, Ceramic, X5R, ±10%, 25V"
"L3","10µH","TopLayer","INDC1608X06L","22.3754","18.4754","180","Inductor, 100mA, ±20%, 1.05Ohm"
"L2","10µH","TopLayer","INDC1608X06L","26.5004","17.5754","180","Inductor, 100mA, ±20%, 1.05Ohm"
"C14","100nF","TopLayer","CAPC0603X03L_C","28.1754","14.1504","270","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C15","100nF","TopLayer","CAPC0603X03L_C","28.3754","15.9254","0","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C1","0.7pF","TopLayer","CAPC0603X03L_C","27.8254","12.8004","270","Capacitor, Ceramic, C0G, ±0.05pF, 50V"
"C17","4.7µF","TopLayer","CAPC1608X06L","18.1004","17.5554","90","Capacitor, X5R, ±10%, 25V"
"C2","1.0µF","TopLayer","CAPC1005X04L","24.8004","17.3754","90","Capacitor, Ceramic, X5R, ±10%, 25V"
"C7","1.0µF","TopLayer","CAPC1005X04L","22.7254","16.6054","0","Capacitor, Ceramic, X5R, ±10%, 25V"
"C4","2.2nF","TopLayer","CAPC0603X03L_C","28.7254","14.1504","90","Capacitor, Ceramic, X5R, ±10%, 10V"
"C6","100nF","TopLayer","CAPC0603X03L_C","25.5444","15.8004","0","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"X1","32MHz","TopLayer","BT-XTAL_2016","30.6504","15.3548","90","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±10ppm"
"C3","1.0µF","TopLayer","CAPC1005X04L","27.0504","16.5504","0","Capacitor, Ceramic, X5R, ±10%, 25V"
"C5","1.0µF","TopLayer","CAPC1005X04L","23.2754","17.4554","0","Capacitor, Ceramic, X5R, ±10%, 25V"
"C16","1.0µF","TopLayer","CAPC1005X04L","20.6754","17.3254","270","Capacitor, Ceramic, X5R, ±10%, 25V"
"C18","4.7µF","TopLayer","CAPC1608X06L","19.2254","17.5554","90","Capacitor, X5R, ±10%, 25V"
"C13","100nF","TopLayer","CAPC0603X03L_C","28.3254","11.3754","0","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"R1","2R2","TopLayer","RESC0603X03L_C","16.8500","16.8750","0","Resistor, ±1%, 0.05W"
"U1","nRF5340-QKAA","TopLayer","AQFN40P700X700X85_HS-99N","23.5254","11.5004","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"C21","N.C.","TopLayer","CAPC0603X03L_C_NC","29.5004","12.7754","270","Not mounted"
"L1","2.2nH","TopLayer","INDC0603X03L_C","28.6503","12.5003","180","Inductor, 600mA, ±0.1nH, 120mOhm"
"TP12","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","20.0000","50.0000","0","1.5mm circular SMD testpad"
"U2","nRF21540-QDAAG00","TopLayer","QFN65P400X400X65_HS-17N","37.5966","11.5168","180","Radio front-end / range extender for 2.4GHz"
"C23","100nF","TopLayer","CAPC0603X03L_C","38.3000","14.9250","0","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C24","10µF","TopLayer","CAPC1608X06L","38.0398","15.8940","0","Capacitor, Ceramic, X5R, ±20%, 25V"
"C25","1.0pF","TopLayer","CAPC0603X03L_C","34.5000","11.8500","0","Capacitor, C0G, ±0.1pF, 25V"
"U3","nPM1100-CAAAE0","BottomLayer","BGA25C40P5X5_200X200X50","21.2500","42.9500","0","Li-Ion/Li-Polymer USB battery charger with a high efficiency buck regulator"
"C34","2.2µF","BottomLayer","CAPC1608X06L","18.4500","41.3000","0","Capacitor, Ceramic, X5R, ±10%, 25V"
"C46","4.7µF","BottomLayer","CAPC1608X06L","18.4500","43.6000","0","Capacitor, X5R, ±10%, 25V"
"C48","10µF","BottomLayer","CAPC1608X06L","21.6500","40.8500","180","Capacitor, Ceramic, X5R, ±20%, 25V"
"L11","2.2µH","BottomLayer","INDC1608X06L","23.0500","39.6500","180","Inductor, 520mA, ±20%, 300mOhm"
"C35","10µF","BottomLayer","CAPC1608X06L","23.8000","42.0000","0","Capacitor, Ceramic, X5R, ±20%, 25V"
"R31","0R","BottomLayer","RESC0603X03L_C","20.8500","44.9500","270","Resistor, ±5%, 0.05W"
"C47","10µF","BottomLayer","CAPC1608X06L","18.4500","42.4500","0","Capacitor, Ceramic, X5R, ±20%, 25V"
"J2","MM8130-2600","TopLayer","COAXIAL-SWF","44.1170","26.3360","180","Coaxial Connector with Switch"
"J1","MM8130-2600","TopLayer","COAXIAL-SWF","44.1170","7.4390","0","Coaxial Connector with Switch"
"TP1","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","40.0000","27.0000","90","1.5mm circular SMD testpad"
"TP6","Ø1.0mm,SMD","BottomLayer","TP_SMD_D1.0mm","28.0000","33.6750","90","1.0mm circular SMD testpad"
"TP8","Ø1.0mm,SMD","BottomLayer","TP_SMD_D1.0mm","26.0000","33.6750","90","1.0mm circular SMD testpad"
"TP7","Ø1.0mm,SMD","BottomLayer","TP_SMD_D1.0mm","30.0000","33.6750","90","1.0mm circular SMD testpad"
"TP2","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","37.0000","27.0000","90","1.5mm circular SMD testpad"
"TP3","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","34.0000","27.0000","90","1.5mm circular SMD testpad"
"R48","10M","BottomLayer","RESC0603X03L_C","4.0000","50.5000","90","Resistor, ±1%, 0.05W"
"R47","1k","BottomLayer","RESC0603X03L_C","6.1000","50.5000","270","Resistor, ±1%, 0.05W"
"Q8","RV2C010UNT2L","BottomLayer","DFN65P100X40-3L","5.0250","50.4250","0","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"R46","1M0","BottomLayer","RESC0603X03L_C","33.4250","33.4250","0","Resistor, ±1%, 0.05W"
"R45","1M0","BottomLayer","RESC0603X03L_C","33.4250","34.0750","0","Resistor, ±1%, 0.05W"
"Bz1","Piezo_4kHz","BottomLayer","Buzzer_PKMCS0909","28.8750","23.5750","270","Piezo Buzzer, SMD, 9.0mm x 9.0mm x 1.9mm, 4kHz, 65dB @ 1.5V, <12.5Vp-p"
"C45","4.7µF","BottomLayer","CAPC1608X06L","21.5000","38.3000","0","Capacitor, X5R, ±10%, 25V"
"R21","1k","BottomLayer","RESC0603X03L_C","21.9750","21.2000","270","Resistor, ±1%, 0.05W"
"Q5","RV2C010UNT2L","BottomLayer","DFN65P100X40-3L","20.6750","21.2750","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"D2","1N4148W","BottomLayer","SOD-123-DIODE","22.3000","27.1500","270","1N4148, Small Signal Fast Switching Diode"
"U8","ADXL362","BottomLayer","LGA50P322X300X114-16N","27.9852","40.9652","180","Micropower, 3-Axis, ±2 g/±4 g/±8 g Digital Output MEMS Accelerometer"
"C39","100nF","BottomLayer","CAPC0603X03L_C","28.8000","43.1250","0","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C38","100nF","BottomLayer","CAPC0603X03L_C","27.1750","43.1250","0","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"Q4","DMN1029UFDB","BottomLayer","DFN65P200X60_HS-6N","32.4500","42.5000","0","Dual N Ch MOFET, 5.6A, 29mOhm @ 5A, 4.5V, 1.4W"
"P5","Pin List 1x2","TopLayer","LIST_1x2-NC","19.6850","32.1260","90","Pin List 1x2, 2.54mm (100mil)"
"J3","HDR-3, 1mm","BottomLayer","SM03B-SRSS-TB","15.6875","48.9080","270","1.0mm pitch connector side entry SMD"
"TP17","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","26.0000","50.0000","0","1.5mm circular SMD testpad"
"J5","FPC 0.5mm RA SMD","BottomLayer","FPC_05P-0.5mm-RA-SMD","12.0000","14.5500","180","0.5mm FPC, 5P,Right Angle SMT,Double Contact,H=1.2mm,White, Tin plated"
"TP15","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","8.5000","50.0000","0","1.5mm circular SMD testpad"
"TP14","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","11.5000","50.0000","0","1.5mm circular SMD testpad"
"P3","Pin List 1x2","TopLayer","LIST_1x2-NC","14.6050","32.1260","90","Pin List 1x2, 2.54mm (100mil)"
"P4","Pin List 1x2","TopLayer","LIST_1x2-NC","17.1450","32.1260","90","Pin List 1x2, 2.54mm (100mil)"
"R23","4k7","BottomLayer","RESC0603X03L_C","24.6000","32.0000","270","Resistor, ±1%, 0.05W"
"R22","4k7","BottomLayer","RESC0603X03L_C","25.3000","32.0000","270","Resistor, ±1%, 0.05W"
"Fid2","Fiducial mark","TopLayer","Fiducial_Round-Square","51.0000","51.0000","0","Fiducial Mark"
"Fid1","Fiducial mark","TopLayer","Fiducial_Round-Square","2.0000","2.0000","0","Fiducial Mark"
"LD1","LED RGB","TopLayer","LED_RGB_0606","48.5000","47.5000","0","RGB LED 1.60 mm x 1.60 mm SMD"
"C36","100nF","BottomLayer","CAPC0603X03L_C","31.1750","37.8250","270","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C37","100nF","BottomLayer","CAPC0603X03L_C","32.2750","40.1750","270","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C42","100nF","TopLayer","CAPC0603X03L_C","50.9250","45.6750","180","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C56","390pF","BottomLayer","CAPC0603X03L_C","12.5438","17.1000","0","Capacitor, NP0, ±5%, 25V"
"C57","390pF","BottomLayer","CAPC0603X03L_C","11.3500","17.1000","0","Capacitor, NP0, ±5%, 25V"
"U10","BH1749NUC","TopLayer","WSON50P210X210X60_HS-9N","51.0000","47.5000","90","Digital 16bit Serial Output Type Color Sensor IC"
"SW3","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","27.8000","26.5000","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"R12","100R","BottomLayer","RESC0603X03L_C","34.2750","46.0000","0","Resistor, ±1%, 0.05W"
"R13","39R","BottomLayer","RESC0603X03L_C","34.2750","41.8500","0","Resistor, ±1%, 0.05W"
"R14","39R","BottomLayer","RESC0603X03L_C","34.2750","43.5866","0","Resistor, ±1%, 0.05W"
"Fid3","Fiducial mark","TopLayer","Fiducial_Round-Square","2.0000","51.0000","90","Fiducial Mark"
"TP9","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","8.7000","7.4500","0","1.5mm circular SMD testpad"
"TP10","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","5.7000","7.4500","0","1.5mm circular SMD testpad"
"TP5","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","27.0000","31.4500","0","1.5mm circular SMD testpad"
"TP4","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","24.0000","31.4500","0","1.5mm circular SMD testpad"
